MBSProdNew,MBSServNew
34322.2,121838.6
36172,118347.6
36176.6,140686.1
37312.1,134314
35962.5,129524.9
36993.8,136838.6
37510,137662.2
32590.8,123974.7
37666.4,135990.1
37219.2,132457.2
32688.3,125917.3
31071.8,125600.5
28445.8,112349.4
29005.7,111613.1
33957.7,124288.1
30694.4,113560.7
29170.2,109989.2
32675.8,122107
31708.2,118889.5
28554.5,108822.1
33882.3,129336.1
34209.1,125526.9
33409.9,125361.4
31403.8,134448.5
28092.3,124846.8
30602.6,114865
38129.6,143119.5
33083,124614.4
32666.1,120884.7
36196.1,131073.3
33971.4,128522.9
31889.5,122368.4
36531.5,137071.7
35669.7,130573.8
37059,134696.1
33669.4,137301.6
32083,124553.5
33151.1,123071.7
39955.1,151351.9
33829.7,129708
35978.1,134574.6
38209.8,137816
34518.2,132159.7
35065.8,131885.6
39133.7,146671.5
36205,143482.3
38080.8,143295.4
34087.2,137719.6
33039,131083.3
34894.3,133052.2
39970.1,155980.8
33119.8,133481.6
36306.8,139460.8
35153.4,131133.8
34648.9,137709.5
32521.8,139694.9
34281.4,146252.2
36200.3,153810.1
36605.8,149724.6
31123.3,142656
31452,142418.3
32130.8,138114.2
36111.4,163285
33991.7,146385.6
35116.9,152925.7
35402.9,146267.9
36065.9,159008.4
32122.1,149512.4
36456.2,164661.1
37999.4,164388.5
35874.6,159847.2
32835.4,151997.2
33475.9,149315.5
33152.9,142929.2
38347.8,169053.5
34789.5,151843.7
35136.4,157120.1
36945.9,155346.3
36698.2,158313.7
31816.1,146559.7
38411.6,168274.3
38213.7,163722.7
35809.2,152342.5
35348.5,158306.5
32438.5,143602.1
33616.3,139621.2
39666.2,166119.1
34956,149752.2
34091.2,146096.5
38577.6,152483.5
35711,154566.1
31674.2,146531.1
37906.7,159883.6
36818.4,154269.8
35919.1,147137.4
34544.8,150949.4
31617.5,135847
34341.3,135647.2
39424.5,162429.4
36948.9,145237.9
36222.5,146617
39005.6,159300.8
35284.6,150669
34996.7,152792.9
39618.9,172308
37732.3,165633.8
39897.4,168207.7
37108.4,170411.1
35391.6,146132
36811.5,145397.1
44260.4,180557.6
35466.6,149570.7
39064.1,160181.4
41592,164300
37546.9,158025.2
37137.7,158633.9
41164.2,177011.2
41506.3,169676.4
42042.9,171992.2
37269.9,164958.5
38387.2,157613.4
38446.8,150682.4
42343.2,178598.9
37911.9,162472.5
40155.7,174679.5
41902.2,180300.6
39867.5,174829.2
38026.4,174694
41265.8,186457.3
43279.7,190981.6
42725.9,186831.3
36900.4,170330.2
38543.9,168051.6
38705.2,164318.3
44354.5,189491.5
37677.2,173970.2
40360,182389.6
40414.9,180620.2
41299,184972
37816.9,175170.2
41773.2,191524
42943.5,191877.2
39833.2,178990.4
36670.7,177494.7
37728.4,171174.9
38218.6,164679.7
39436.1,168098.7
23905.5,111351.2
25736.5,113692.5
33768.4,145710.7
