Date,CVMSA,CVMNSA,MPSA,MPNSA,CVMSA2
2008 Q1,461472,484527,400688,404144,480523
2008 Q2,458912,467520,398915,394617,477834
2008 Q3,451736,470800,397188,395006,470368
2008 Q4,442406,466554,392468,395492,460676
2009 Q1,434676,455358,384441,387707,452896
2009 Q2,433618,438112,385619,379400,452036
2009 Q3,433926,455207,389776,388668,452595
2009 Q4,435228,462995,388677,392738,454145
2010 Q1,438001,456652,394878,398648,457058
2010 Q2,442390,449930,401588,396801,461765
2010 Q3,445324,467025,403451,401555,465134
2010 Q4,445606,475640,406110,409023,465290
2011 Q1,448411,466463,414242,417202,466970
2011 Q2,448857,456985,411759,407837,467370
2011 Q3,450249,467205,414864,412074,468942
2011 Q4,451086,482185,419276,423028,469556
2012 Q1,453989,471212,421447,427202,472809
2012 Q2,453631,461791,423697,418926,472114
2012 Q3,459145,475847,432624,427925,477869
2012 Q4,458439,490777,434002,437717,476834
2013 Q1,461394,476533,436035,439582,479357
2013 Q2,463867,478343,440203,438760,483211
2013 Q3,468254,483740,449241,444285,487728
2013 Q4,470740,502539,454857,457709,490859
2014 Q1,473842,491558,459591,465014,494629
2014 Q2,476949,493914,463641,461383,497849
2014 Q3,479696,498093,468959,463493,500658
2014 Q4,482379,513160,470817,473118,503589
2015 Q1,484920,499944,473838,475839,506314
2015 Q2,488378,503354,480944,477094,510095
2015 Q3,490478,512563,481713,477690,512070
2015 Q4,494144,528048,483146,489018,515430
2016 Q1,494966,512260,489770,492993,516456
2016 Q2,497593,516675,497175,496451,518794
2016 Q3,499836,516618,500613,494296,520379
2016 Q4,503083,533560,507154,510972,523484
2017 Q1,505983,522697,512085,514962,526081
2017 Q2,507255,524816,513953,510912,527622
2017 Q3,508982,528790,517482,513830,529856
2017 Q4,511014,538993,525237,529053,531737
2018 Q1,511318,528434,527869,528688,532104
2018 Q2,514011,527659,532966,530063,534140
2018 Q3,517029,536311,539287,534823,537326
2018 Q4,518136,549388,541670,548218,538222
2019 Q1,521546,534686,548441,551736,541188
2019 Q2,521251,534178,551278,546179,541091
2019 Q3,523918,543665,556226,552905,542854
2019 Q4,523917,556269,558417,563542,543665
2020 Q1,512458,522808,555870,555298,529950
2020 Q2,408046,414158,475519,472173,424962
